,회사명,업종
283,카카오,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
284,카페24,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
285,컴투스,소프트웨어 개발 및 공급업
286,케이씨티시,도로 화물 운송업
287,케이티,전기 통신업
288,케이티스카이라이프,텔레비전 방송업
289,케이티알파,상품 중개업
290,코리아센터,소프트웨어 개발 및 공급업
291,코리아에셋투자증권,금융 지원 서비스업
292,코리안리,재 보험업
293,코스맥스비티아이,기타 금융업
294,코엔텍,폐기물 처리업
295,코오롱,기타 금융업
296,코오롱글로벌,토목 건설업
297,코웨이,그외 기타 개인 서비스업
298,코웰패션,"섬유, 의복, 신발 및 가죽제품 소매업"
299,콤텍시스템,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
300,쿠쿠홀딩스,기타 금융업
301,쿠쿠홈시스,개인 및 가정용품 임대업
302,큐캐피탈,기타 금융업
303,크라운해태홀딩스,기타 금융업
304,크리스탈지노믹스,자연과학 및 공학 연구개발업
305,키다리스튜디오,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
306,키움증권,금융 지원 서비스업
307,태영건설,토목 건설업
308,텔코웨어,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
309,티웨이항공,항공 여객 운송업
310,파라다이스,유원지 및 기타 오락관련 서비스업
311,팬오션,해상 운송업
312,펄어비스,소프트웨어 개발 및 공급업
313,포스코ICT,"건축기술, 엔지니어링 및 관련 기술 서비스업"
314,포스코인터내셔널,상품 중개업
315,풍산홀딩스,기타 금융업
316,하나금융지주,기타 금융업
317,하나투어,여행사 및 기타 여행보조 서비스업
318,하림,"도축, 육류 가공 및 저장 처리업"
319,하림지주,기타 금융업
320,하이트진로홀딩스,기타 금융업
321,한국공항,기타 운송관련 서비스업
322,한국금융지주,기타 금융업
323,한국기업평가,기타 사업지원 서비스업
324,한국앤컴퍼니,기타 금융업
325,한국자산신탁,신탁업 및 집합투자업
326,한국전력공사,전기업
327,한국전자홀딩스,기타 금융업
328,한국정보인증,소프트웨어 개발 및 공급업
329,한국조선해양,선박 및 보트 건조업
330,한국종합기술,"건축기술, 엔지니어링 및 관련 기술 서비스업"
331,한국캐피탈,기타 금융업
332,한국콜마홀딩스,기타 금융업
333,한국토지신탁,신탁업 및 집합투자업
334,한국화장품,생활용품 도매업
335,한라,토목 건설업
336,한라홀딩스,기타 금융업
337,한미글로벌,"건축기술, 엔지니어링 및 관련 기술 서비스업"
338,한미사이언스,기타 금융업
339,한샘,생활용품 도매업
340,한성기업,수산물 가공 및 저장 처리업
341,한세엠케이,"섬유, 의복, 신발 및 가죽제품 소매업"
342,한솔로지스틱스,기타 운송관련 서비스업
343,한솔피엔에스,기타 전문 도매업
344,한솔홀딩스,기타 금융업
345,한솔홈데코,제재 및 목재 가공업
346,한신공영,건물 건설업
347,한양증권,금융 지원 서비스업
348,한익스프레스,도로 화물 운송업
349,한전KPS,전기 및 통신 공사업
350,한전기술,"건축기술, 엔지니어링 및 관련 기술 서비스업"
351,한전산업,"건축기술, 엔지니어링 및 관련 기술 서비스업"
352,한진,도로 화물 운송업
353,한진칼,항공 여객 운송업
