,회사명,업종
301,비츠로시스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
302,비케이홀딩스,전자부품 제조업
303,비피도,기타 식품 제조업
304,빅솔론,컴퓨터 및 주변장치 제조업
305,빅텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
306,빛샘전자,전자부품 제조업
307,삼강엠앤티,1차 철강 제조업
308,삼기,자동차 신품 부품 제조업
309,삼륭물산,"골판지, 종이 상자 및 종이용기 제조업"
310,삼목에스폼,"구조용 금속제품, 탱크 및 증기발생기 제조업"
311,삼보모터스,자동차 신품 부품 제조업
312,삼보산업,1차 비철금속 제조업
313,삼보판지,"펄프, 종이 및 판지 제조업"
314,삼아제약,의약품 제조업
315,삼양옵틱스,사진장비 및 광학기기 제조업
316,삼영에스앤씨,전자부품 제조업
317,삼영엠텍,"구조용 금속제품, 탱크 및 증기발생기 제조업"
318,삼영이엔씨,통신 및 방송 장비 제조업
319,삼지전자,통신 및 방송 장비 제조업
320,삼진,통신 및 방송 장비 제조업
321,삼진엘앤디,그외 기타 제품 제조업
322,삼현철강,1차 철강 제조업
323,상보,플라스틱제품 제조업
324,상상인인더스트리,특수 목적용 기계 제조업
325,상신이디피,일차전지 및 축전지 제조업
326,상신전자,전자부품 제조업
327,새로닉스,전자부품 제조업
328,새빗켐,기타 화학제품 제조업
329,샘씨엔에스,전자부품 제조업
330,서남,기타 전기장비 제조업
331,서산,"시멘트, 석회, 플라스터 및 그 제품 제조업"
332,서암기계공업,일반 목적용 기계 제조업
333,서연탑메탈,특수 목적용 기계 제조업
334,서울바이오시스,반도체 제조업
335,서울제약,의약품 제조업
336,서원인텍,통신 및 방송 장비 제조업
337,서전기전,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
338,서진오토모티브,자동차 신품 부품 제조업
339,서호전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
340,석경에이티,기초 화학물질 제조업
341,선익시스템,특수 목적용 기계 제조업
342,선진뷰티사이언스,기타 화학제품 제조업
343,성광벤드,1차 철강 제조업
344,성우전자,통신 및 방송 장비 제조업
345,성우테크론,전자부품 제조업
346,성우하이텍,자동차 신품 부품 제조업
347,성일하이텍,기초 화학물질 제조업
348,성창오토텍,자동차 신품 부품 제조업
349,성호전자,전자부품 제조업
350,세경하이테크,전자부품 제조업
351,세동,자동차 신품 부품 제조업
352,세림B&G,플라스틱제품 제조업
353,세명전기,기타 금속 가공제품 제조업
354,세아메카닉스,기타 금속 가공제품 제조업
355,세운메디칼,의료용품 및 기타 의약 관련제품 제조업
356,세원물산,자동차 신품 부품 제조업
357,세종메디칼,의료용 기기 제조업
358,세진티에스,전자부품 제조업
359,세코닉스,사진장비 및 광학기기 제조업
360,세화피앤씨,기타 화학제품 제조업
361,센코,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
362,셀레믹스,기초 의약물질 및 생물학적 제제 제조업
363,셀루메드,기초 의약물질 및 생물학적 제제 제조업
364,셀바스헬스케어,의료용 기기 제조업
365,소니드,기타 화학제품 제조업
366,소룩스,전구 및 조명장치 제조업
367,솔고바이오,의료용 기기 제조업
368,솔루에타,전자부품 제조업
369,솔브레인,기타 화학제품 제조업
370,수젠텍,의료용품 및 기타 의약 관련제품 제조업
371,슈프리마,통신 및 방송 장비 제조업
372,슈프리마아이디,전자부품 제조업
373,슈프리마에이치큐,통신 및 방송 장비 제조업
374,스마트솔루션즈,특수 목적용 기계 제조업
375,스맥,특수 목적용 기계 제조업
376,스카이문스테크놀로지,통신 및 방송 장비 제조업
377,스킨앤스킨,기타 화학제품 제조업
378,스타플렉스,플라스틱제품 제조업
379,스페코,특수 목적용 기계 제조업
380,승일,기타 금속 가공제품 제조업
381,시너지이노베이션,의료용 기기 제조업
382,시노펙스,전자부품 제조업
383,시스웍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
384,신도기연,특수 목적용 기계 제조업
385,신성델타테크,가정용 기기 제조업
386,신신제약,의약품 제조업
387,신일제약,의약품 제조업
388,신진에스엠,기타 금속 가공제품 제조업
389,신화콘텍,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
390,심텍,전자부품 제조업
391,심텍홀딩스,통신 및 방송 장비 제조업
392,싸이맥스,특수 목적용 기계 제조업
393,쎄노텍,기타 비금속 광물제품 제조업
394,쎄니트,1차 철강 제조업
395,쎄트렉아이,"항공기,우주선 및 부품 제조업"
396,쎌바이오텍,기초 의약물질 및 생물학적 제제 제조업
397,쏠리드,통신 및 방송 장비 제조업
398,씨앤씨인터내셔널,기타 화학제품 제조업
399,씨앤지하이테크,특수 목적용 기계 제조업
400,씨앤투스성진,기타 섬유제품 제조업
401,씨에스베어링,일반 목적용 기계 제조업
402,씨엔플러스,전자부품 제조업
403,씨유메디칼,의료용 기기 제조업
404,씨유테크,전자부품 제조업
405,씨큐브,기초 화학물질 제조업
406,씨티씨바이오,의약품 제조업
407,씨티케이,기타 화학제품 제조업
408,아나패스,반도체 제조업
409,아리온,통신 및 방송 장비 제조업
410,아모그린텍,전자부품 제조업
411,아모센스,전자부품 제조업
412,아모텍,전자부품 제조업
413,아바코,특수 목적용 기계 제조업
414,아바텍,전자부품 제조업
415,아비코전자,전자부품 제조업
416,아세아텍,특수 목적용 기계 제조업
417,아셈스,플라스틱제품 제조업
418,아스타,의료용품 및 기타 의약 관련제품 제조업
419,아스트,"항공기,우주선 및 부품 제조업"
420,아스플로,일반 목적용 기계 제조업
421,아우딘퓨쳐스,기타 화학제품 제조업
422,아이디스,통신 및 방송 장비 제조업
423,아이디피,컴퓨터 및 주변장치 제조업
424,아이센스,의료용 기기 제조업
425,아이쓰리시스템,전자부품 제조업
426,아이씨디,특수 목적용 기계 제조업
427,아이씨에이치,그외 기타 제품 제조업
428,아이씨케이,전자부품 제조업
429,아이앤씨,반도체 제조업
430,아이에이,전자부품 제조업
431,아이엘사이언스,전구 및 조명장치 제조업
432,아이엠,전자부품 제조업
433,아이원스,특수 목적용 기계 제조업
434,아이윈,자동차 신품 부품 제조업
435,아이윈플러스,전자부품 제조업
436,아이컴포넌트,전자부품 제조업
437,아이큐어,의약품 제조업
438,아이패밀리에스씨,기타 화학제품 제조업
439,아진산업,자동차 신품 부품 제조업
440,아진엑스텍,반도체 제조업
441,안국약품,의약품 제조업
442,알로이스,통신 및 방송 장비 제조업
443,알리코제약,의료용품 및 기타 의약 관련제품 제조업
444,알에스오토메이션,전자부품 제조업
445,알에프세미,반도체 제조업
446,알에프텍,통신 및 방송 장비 제조업
