,회사명,업종
269,삼화네트웍스,"영화, 비디오물, 방송프로그램 제작 및 배급업"
270,상상인제3호스팩,금융 지원 서비스업
271,상지카일룸,건물 건설업
272,서린바이오,기타 전문 도매업
273,서울리거,기타 전문 도매업
274,서울옥션,상품 중개업
275,서울전자통신,기계장비 및 관련 물품 도매업
276,서플러스글로벌,기계장비 및 관련 물품 도매업
277,서한,건물 건설업
278,서희건설,건물 건설업
279,선광,기타 운송관련 서비스업
280,성도이엔지,"건축기술, 엔지니어링 및 관련 기술 서비스업"
281,세보엠이씨,건물설비 설치 공사업
282,세종텔레콤,전기 통신업
283,세중,여행사 및 기타 여행보조 서비스업
284,세토피아,소프트웨어 개발 및 공급업
285,셀리드,자연과학 및 공학 연구개발업
286,셀바스AI,소프트웨어 개발 및 공급업
287,소리바다,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
288,소마젠,"그외 기타 전문, 과학 및 기술 서비스업"
289,소프트센,기계장비 및 관련 물품 도매업
290,소프트캠프,소프트웨어 개발 및 공급업
291,손오공,기타 전문 도매업
292,솔본,회사 본부 및 경영 컨설팅 서비스업
293,솔트룩스,소프트웨어 개발 및 공급업
294,쇼박스,"영화, 비디오물, 방송프로그램 제작 및 배급업"
295,수산아이앤티,소프트웨어 개발 및 공급업
296,스카이이앤엠,상품 종합 도매업
297,스코넥,소프트웨어 개발 및 공급업
298,스톤브릿지벤처스,기타 금융업
299,스튜디오산타클로스,창작 및 예술관련 서비스업
300,시공테크,전문디자인업
301,시큐브,소프트웨어 개발 및 공급업
302,시티랩스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
303,신라섬유,가전제품 및 정보통신장비 소매업
304,신라에스지,음·식료품 및 담배 도매업
305,신라젠,자연과학 및 공학 연구개발업
306,신영스팩6호,금융 지원 서비스업
307,신영스팩7호,금융 지원 서비스업
308,신원종합개발,건물 건설업
309,신테카바이오,소프트웨어 개발 및 공급업
310,신한제10호스팩,금융 지원 서비스업
311,신한제6호스팩,금융 지원 서비스업
312,신한제7호스팩,금융 지원 서비스업
313,신한제8호스팩,금융 지원 서비스업
314,신한제9호스팩,금융 지원 서비스업
315,실리콘투,상품 종합 도매업
316,싸이버원,소프트웨어 개발 및 공급업
317,싸이토젠,자연과학 및 공학 연구개발업
318,쌍용정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
319,썸에이지,소프트웨어 개발 및 공급업
320,씨씨에스,텔레비전 방송업
321,씨엔알리서치,"그외 기타 전문, 과학 및 기술 서비스업"
322,씨이랩,소프트웨어 개발 및 공급업
323,씨케이에이치,기타 금융업
324,아가방컴퍼니,생활용품 도매업
325,아미노로직스,기타 전문 도매업
326,아시아경제,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
327,아시아종묘,작물 재배업
328,아이디스홀딩스,기타 전문 서비스업
329,아이비김영,일반 교습 학원
330,아이스크림에듀,"서적, 잡지 및 기타 인쇄물 출판업"
331,아이에스이커머스,무점포 소매업
332,아이오케이,"영화, 비디오물, 방송프로그램 제작 및 배급업"
333,아이즈비전,전기 통신업
334,아이진,자연과학 및 공학 연구개발업
335,아이퀘스트,소프트웨어 개발 및 공급업
336,아이크래프트,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
337,아이텍,"그외 기타 전문, 과학 및 기술 서비스업"
338,아이톡시,기타 전문 도매업
339,아이티센,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
340,아이티아이즈,소프트웨어 개발 및 공급업
341,아즈텍WB,"섬유제품 염색, 정리 및 마무리 가공업"
342,아톤,소프트웨어 개발 및 공급업
